split,model,calibration,evaluation_scope,n_samples,positive_rate,threshold,accuracy,balanced_accuracy,precision,recall,macro_f1,error_precision,error_recall,error_f1,auc,tn,fp,fn,tp,meets_min_precision,meets_min_recall,meets_plan_minimum
test,feature_logreg,target_phone_threshold_plan_threshold,core_fricatives,8957,0.941498,0.25163,0.880317,0.584741,0.951761,0.919483,0.565873,0.161728,0.25,0.196402,0.664128,131,393,679,7754,0,0,0
dev,feature_logreg,target_phone_threshold_plan_threshold,core_stops,2563,0.966446,0.23,0.965665,0.516433,0.967515,0.997981,0.523171,0.375,0.034884,0.06383,0.592199,3,83,5,2472,0,0,0
test,feature_logreg,target_phone_threshold_plan_threshold,core_stops,9512,0.970984,0.23,0.969933,0.499459,0.970953,0.998917,0.492368,0.0,0.0,0.0,0.60869,0,276,10,9226,0,0,0
dev,feature_logreg,target_phone_threshold_plan_threshold,core_nasals,1502,0.923435,0.391032,0.879494,0.540005,0.929487,0.94088,0.542692,0.163265,0.13913,0.150235,0.626965,16,99,82,1305,0,0,0
test,feature_logreg,target_phone_threshold_plan_threshold,core_nasals,5443,0.959581,0.391032,0.934044,0.514994,0.960781,0.970898,0.516673,0.078788,0.059091,0.067532,0.558671,13,207,152,5071,0,0,0
dev,feature_random_forest,phone_group_threshold_plan_threshold,overall,13766,0.924379,0.234948,0.917841,0.582903,0.93639,0.977525,0.606951,0.406639,0.18828,0.257387,0.708612,196,845,286,12439,1,0,0
test,feature_random_forest,phone_group_threshold_plan_threshold,overall,50488,0.950206,0.234948,0.939431,0.53975,0.954046,0.983637,0.552387,0.234893,0.095863,0.136158,0.667459,241,2273,785,47189,0,0,0
dev,feature_random_forest,phone_group_threshold_plan_threshold,core_vowels,5496,0.930131,0.12,0.930313,0.501302,0.9303,1.0,0.484543,1.0,0.002604,0.005195,0.587475,1,383,0,5112,1,0,0
test,feature_random_forest,phone_group_threshold_plan_threshold,core_vowels,20409,0.94473,0.12,0.944534,0.500731,0.944807,0.999689,0.487497,0.25,0.001773,0.003521,0.631277,2,1126,6,19275,0,0,0
dev,feature_random_forest,phone_group_threshold_plan_threshold,core_liquids,1002,0.891218,0.1,0.892216,0.508614,0.892893,0.99888,0.489316,0.666667,0.018349,0.035714,0.609393,2,107,1,892,1,0,0
test,feature_random_forest,phone_group_threshold_plan_threshold,core_liquids,3407,0.930731,0.1,0.931318,0.504237,0.931278,1.0,0.490611,1.0,0.008475,0.016807,0.630894,2,234,0,3171,1,0,0
dev,feature_random_forest,phone_group_threshold_plan_threshold,core_fricatives,2434,0.8788,0.350987,0.842235,0.7612,0.947933,0.868163,0.703797,0.406316,0.654237,0.501299,0.843108,193,102,282,1857,1,1,1
test,feature_random_forest,phone_group_threshold_plan_threshold,core_fricatives,8957,0.941498,0.350987,0.843698,0.610934,0.955682,0.87454,0.559831,0.146774,0.347328,0.206349,0.677125,182,342,1058,7375,0,0,0
dev,feature_random_forest,phone_group_threshold_plan_threshold,core_stops,2563,0.966446,0.14,0.964495,0.504603,0.966745,0.997578,0.501712,0.142857,0.011628,0.021505,0.593181,1,85,6,2471,0,0,0
test,feature_random_forest,phone_group_threshold_plan_threshold,core_stops,9512,0.970984,0.14,0.970353,0.504948,0.971263,0.999026,0.502891,0.25,0.01087,0.020833,0.631343,3,273,9,9227,0,0,0
dev,feature_random_forest,phone_group_threshold_plan_threshold,core_nasals,1502,0.923435,0.27,0.921438,0.502906,0.923848,0.997116,0.487876,0.2,0.008696,0.016667,0.644701,1,114,4,1383,0,0,0
test,feature_random_forest,phone_group_threshold_plan_threshold,core_nasals,5443,0.959581,0.27,0.958846,0.499617,0.959551,0.999234,0.489495,0.0,0.0,0.0,0.59975,0,220,4,5219,0,0,0
dev,feature_random_forest,score_threshold_plan_threshold,overall,13766,0.924379,0.234948,0.917841,0.582903,0.93639,0.977525,0.606951,0.406639,0.18828,0.257387,0.708612,196,845,286,12439,1,0,0
